,POI,latitude,longitude,address,city,postCode
1352,Café,43.664218,-79.38667,"925 Bay St, Toronto ON M5S 3L4",Toronto,M5S 3L4
1353,Diner,43.666761,-79.385672,"4 Irwin Ave (at Yonge St), Toronto ON M4Y 1K9",Toronto,M4Y 1K9
1354,Dessert Shop,43.665449,-79.385182,"596 Yonge St, Toronto ON M4Y 1Z3",Toronto,M4Y 1Z3
1355,Sushi Restaurant,43.664737,-79.384929,"3 Wellesley St W (at Yonge), Toronto ON M4Y 1E8",Toronto,M4Y 1E8
1356,Martial Arts Dojo,43.666148,-79.384826,"295 College St (Wellesley St.), Toronto ON M5T 1S2",Toronto,M5T 1S2
1357,Café,43.657243,-79.376021,"106 Mutual St (btwn Dundas & Gould St), Toronto ON M5B 2R7",Toronto,M5B 2R7
1358,Event Service,43.65799,-79.378103,"63 Gould St (Chruch), Toronto ON M5B 1E9",Toronto,M5B 1E9
1359,Ramen Restaurant,43.656294,-79.377506,"91 Dundas St E (at Church St), Toronto ON M5B 2C8",Toronto,M5B 2C8
1360,Japanese Restaurant,43.65689,-79.376245,"134 Dundas St E, Toronto ON M5B 1E2",Toronto,M5B 1E2
1361,Burrito Restaurant,43.656331,-79.378541,"74 Dundas St E, Toronto ON M5B 1C7",Toronto,M5B 1C7
1362,Café,43.657799,-79.379195,"122 Bond St (at Gould St.), Toronto ON M5B 1X8",Toronto,M5B 1X8
1363,Japanese Restaurant,43.660458,-79.378917,"398 Church St (McGill Street), Toronto ON M5B 2A2",Toronto,M5B 2A2
1364,Museum,43.655678,-79.37825,"82 Bond St, Toronto ON M5B 1X2",Toronto,M5B 1X2
1365,Pizzeria,43.656609,-79.380128,"10 Dundas St E, Toronto ON M5B 2G9",Toronto,M5B 2G9
1366,Ramen Restaurant,43.660399,-79.378954,"396 Church St (McGill Street), Toronto ON M5B 2A2",Toronto,M5B 2A2
1367,Café,43.669144,-79.352753,"479 Broad View Ave (at Riverdale Ave), Toronto ON M4K 2N4",Toronto,M4K 2N4
1368,Church,43.67086,-79.353867,"515 Broadview Ave, Toronto ON M4K 2N6",Toronto,M4K 2N6
1369,Shrine,43.670273,-79.353447,"509 Broadview Ave, Toronto ON M4K 2N5",Toronto,M4K 2N5
1370,Elementary School,43.670589,-79.351392,"25 Bain Ave, Toronto ON M4K 1E5",Toronto,M4K 1E5
1371,Concert Hall,43.676479,-79.35691,"147 Danforth Ave (at Broadview Ave.), Toronto ON M4K 1N2",Toronto,M4K 1N2
1372,Café,43.671322,-79.346691,"633 Logan Ave (at Withrow Ave), Toronto ON M4K 3C4",Toronto,M4K 3C4
1373,Cocktail Bar,43.676433,-79.356762,"161 Danforth Ave, Toronto ON M4K 1N2",Toronto,M4K 1N2
1374,Park,43.674294,-79.346741,"725 Logan Ave (btwn Bain Ave. & McConnell Ave.), Toronto ON M4K 3C7",Toronto,M4K 3C7
1375,Cocktail Bar,43.676433,-79.356762,"161 Danforth Ave, Toronto ON M4K 1N2",Toronto,M4K 1N2
